Ticker,Note
MO,No EP setup
AMP,No EP setup
ANSS,No EP setup
ADI,No EP setup
AME,No EP setup
APH,No EP setup
AMGN,No EP setup
ATO,No EP setup
ADP,No EP setup
ADSK,No EP setup
AVB,No EP setup
AZO,No EP setup
AXON,No EP setup
AVY,No EP setup
BAC,No EP setup
BALL,No EP setup
BKR,No EP setup
BXP,No EP setup
CDNS,No EP setup
CZR,No EP setup
CHRW,No EP setup
BG,No EP setup
CPT,No EP setup
CAH,No EP setup
COF,No EP setup
CPB,No EP setup
CVX,No EP setup
CHTR,No EP setup
CMG,No EP setup
CRL,No EP setup
CF,No EP setup
SCHW,No EP setup
STZ,No EP setup
COO,No EP setup
CEG,No EP setup
CPRT,No EP setup
CTVA,No EP setup
CPAY,No EP setup
GLW,No EP setup
CSGP,No EP setup
COST,No EP setup
DOW,No EP setup
ELV,No EP setup
EW,No EP setup
ETR,No EP setup
EPAM,No EP setup
EQT,No EP setup
ESS,No EP setup
EG,No EP setup
EL,No EP setup
ERIE,No EP setup
EVRG,No EP setup
EXC,No EP setup
EXPD,No EP setup
EXPE,No EP setup
EXE,No EP setup
EXR,No EP setup
FFIV,No EP setup
FDS,No EP setup
FDX,No EP setup
FSLR,No EP setup
FRT,No EP setup
FIS,No EP setup
FE,No EP setup
FITB,No EP setup
FTNT,No EP setup
BEN,No EP setup
FOX,No EP setup
FI,No EP setup
F,No EP setup
FOXA,No EP setup
FCX,No EP setup
FTV,No EP setup
GDDY,No EP setup
HAS,No EP setup
GPN,No EP setup
GS,No EP setup
HAL,No EP setup
GL,No EP setup
HIG,No EP setup
HCA,No EP setup
HON,No EP setup
HD,No EP setup
HOLX,No EP setup
HST,No EP setup
HRL,No EP setup
HUM,No EP setup
INCY,No EP setup
HBAN,No EP setup
IBM,No EP setup
IEX,No EP setup
ITW,No EP setup
HII,No EP setup
ICE,No EP setup
IDXX,No EP setup
IFF,No EP setup
INTU,No EP setup
ISRG,No EP setup
JNPR,No EP setup
JCI,No EP setup
JNJ,No EP setup
J,No EP setup
KLAC,No EP setup
LDOS,No EP setup
LYV,No EP setup
LKQ,No EP setup
LMT,No EP setup
L,No EP setup
MKTX,No EP setup
MCK,No EP setup
META,No EP setup
MDT,No EP setup
MRK,No EP setup
MTD,No EP setup
MET,No EP setup
MGM,No EP setup
MCHP,No EP setup
MU,No EP setup
MSFT,No EP setup
TAP,No EP setup
MNST,No EP setup
MDLZ,No EP setup
MPWR,No EP setup
MCO,No EP setup
NWSA,No EP setup
NWS,No EP setup
NEE,No EP setup
NTAP,No EP setup
NDAQ,No EP setup
NEM,No EP setup
NFLX,No EP setup
NKE,No EP setup
NRG,No EP setup
NUE,No EP setup
NVDA,No EP setup
ORCL,No EP setup
OMC,No EP setup
OKE,No EP setup
OTIS,No EP setup
PLTR,No EP setup
PKG,No EP setup
PANW,No EP setup
PH,No EP setup
PAYC,No EP setup
PAYX,No EP setup
PPG,No EP setup
PPL,No EP setup
PLD,No EP setup
PEG,No EP setup
PTC,No EP setup
PSA,No EP setup
PRU,No EP setup
QCOM,No EP setup
O,No EP setup
DGX,No EP setup
RL,No EP setup
RTX,No EP setup
RJF,No EP setup
ROL,No EP setup
RVTY,No EP setup
ROK,No EP setup
ROP,No EP setup
RF,No EP setup
SRE,No EP setup
NOW,No EP setup
STLD,No EP setup
SWK,No EP setup
SBUX,No EP setup
SYK,No EP setup
STT,No EP setup
SMCI,No EP setup
STE,No EP setup
ULTA,No EP setup
VLTO,No EP setup
VTR,No EP setup
VRSK,No EP setup
XYL,No EP setup
XEL,No EP setup
WDAY,No EP setup
